Month,Year,Date,SP500_Close,SP_Return,CPI,Inflation_Rate
2,2009,Feb-09,735.09,8.5404508,212.705,0.364266065
3,2009,Mar-09,797.87,9.3925076,212.495,-0.098728286
4,2009,Apr-09,872.81,5.3081427,212.709,0.100708252
5,2009,May-09,919.14,0.0195835,213.022,0.147149392
6,2009,Jun-09,919.32,7.4141757,214.79,0.829961225
7,2009,Jul-09,987.48,3.3560173,214.726,-0.029796545
8,2009,Aug-09,1020.62,3.5723384,215.445,0.334845338
9,2009,Sep-09,1057.08,-1.9761986,215.861,0.193088723
10,2009,Oct-09,1036.19,5.7363997,216.509,0.30019318
11,2009,Nov-09,1095.63,1.7770598,217.234,0.334859059
12,2009,Dec-09,1115.1,-3.6974262,217.347,0.05201764
1,2010,Jan-10,1073.87,2.8513693,217.488,0.064873221
2,2010,Feb-10,1104.49,5.8796368,217.281,-0.095177665
3,2010,Mar-10,1169.43,1.4759327,217.353,0.033136814
4,2010,Apr-10,1186.69,-8.1975916,217.403,0.023004053
5,2010,May-10,1089.41,-5.3882377,217.29,-0.051977204
6,2010,Jun-10,1030.71,6.8777833,217.199,-0.041879516
7,2010,Jul-10,1101.6,-4.7449165,217.605,0.186925354
8,2010,Aug-10,1049.33,8.7551104,217.923,0.146136348
9,2010,Sep-10,1141.2,3.6855941,218.275,0.161524942
10,2010,Oct-10,1183.26,-0.2290283,219.035,0.348184629
11,2010,Nov-10,1180.55,6.5300072,219.59,0.253384162
12,2010,Dec-10,1257.64,2.264559,220.472,0.401657635
1,2011,Jan-11,1286.12,3.1956583,221.187,0.32430422
2,2011,Feb-11,1327.22,-0.1047302,221.898,0.321447463
3,2011,Mar-11,1325.83,2.8495358,223.046,0.517354821
4,2011,Apr-11,1363.61,-1.3500928,224.093,0.469409898
5,2011,May-11,1345.2,-1.8257508,224.806,0.318171473
6,2011,Jun-11,1320.64,-2.1474437,224.806,0
7,2011,Jul-11,1292.28,-5.6791098,225.395,0.262003683
8,2011,Aug-11,1218.89,-7.1762013,226.106,0.315446217
9,2011,Sep-11,1131.42,10.7723038,226.597,0.217154786
10,2011,Oct-11,1253.3,-0.5058645,226.75,0.067520753
11,2011,Nov-11,1246.96,0.8532752,227.169,0.184785006
12,2011,Dec-11,1257.6,4.3583015,227.223,0.023770849
1,2012,Jan-12,1312.41,4.058945,227.842,0.272419605
2,2012,Feb-12,1365.68,3.1332377,228.329,0.213744612
3,2012,Mar-12,1408.47,-0.7497497,228.807,0.209347039
4,2012,Apr-12,1397.91,-6.2650671,229.187,0.166078835
5,2012,May-12,1310.33,3.9554921,228.713,-0.206818013
6,2012,Jun-12,1362.16,1.2597639,228.524,-0.082636317
7,2012,Jul-12,1379.32,1.9763362,228.59,0.028880993
8,2012,Aug-12,1406.58,2.423609,229.918,0.580952798
9,2012,Sep-12,1440.67,-1.9789404,231.015,0.477126628
10,2012,Oct-12,1412.16,0.2846703,231.638,0.269679458
11,2012,Nov-12,1416.18,0.7068311,231.249,-0.167934449
12,2012,Dec-12,1426.19,5.0428064,231.221,-0.01210816
1,2013,Jan-13,1498.11,1.1060603,231.679,0.198078894
2,2013,Feb-13,1514.68,3.5987799,232.937,0.542992675
3,2013,Mar-13,1569.19,1.8085764,232.282,-0.28119191
4,2013,Apr-13,1597.57,2.0762783,231.797,-0.208797927
5,2013,May-13,1630.74,-1.4999325,231.893,0.041415549
6,2013,Jun-13,1606.28,4.9462111,232.445,0.238040821
7,2013,Jul-13,1685.73,-3.1298013,232.9,0.19574523
8,2013,Aug-13,1632.97,2.9749475,233.456,0.238729068
9,2013,Sep-13,1681.55,4.459576,233.544,0.037694469
10,2013,Oct-13,1756.54,2.8049461,233.669,0.053523105
11,2013,Nov-13,1805.81,2.3562833,234.1,0.184448943
12,2013,Dec-13,1848.36,-3.5582895,234.719,0.264416916
1,2014,Jan-14,1782.59,4.3117038,235.288,0.242417529
2,2014,Feb-14,1859.45,0.6932157,235.547,0.110077862
3,2014,Mar-14,1872.34,0.6200797,236.028,0.20420553
4,2014,Apr-14,1883.95,2.1030282,236.468,0.186418561
5,2014,May-14,1923.57,1.9058313,236.918,0.19030059
6,2014,Jun-14,1960.23,-1.5079863,237.231,0.132113221
7,2014,Jul-14,1930.67,3.7655322,237.498,0.112548529
8,2014,Aug-14,2003.37,-1.5513859,237.46,-0.016000135
9,2014,Sep-14,1972.29,2.3201456,237.477,0.0071591
10,2014,Oct-14,2018.05,2.4533584,237.43,-0.01979139
11,2014,Nov-14,2067.56,-0.4188512,236.983,-0.188266015
12,2014,Dec-14,2058.9,-3.1040847,236.252,-0.308460944
1,2015,Jan-15,1994.99,5.4892506,234.747,-0.637031644
2,2015,Feb-15,2104.5,-1.7396056,235.342,0.253464368
3,2015,Mar-15,2067.89,0.8520763,235.976,0.269395178
4,2015,Apr-15,2085.51,1.0491439,236.222,0.10424789
5,2015,May-15,2107.39,-2.1011773,237.001,0.329774534
6,2015,Jun-15,2063.11,1.974204,237.657,0.276792081
7,2015,Jul-15,2103.84,-6.2580805,238.034,0.158631978
8,2015,Aug-15,1972.18,-2.644282,238.033,-0.000420108
9,2015,Sep-15,1920.03,8.2983078,237.498,-0.224758752
10,2015,Oct-15,2079.36,0.0504963,237.733,0.098948202
11,2015,Nov-15,2080.41,-1.7530198,238.017,0.119461749
12,2015,Dec-15,2043.94,-5.0735344,237.761,-0.107555343
1,2016,Jan-16,1940.24,-0.4128355,237.652,-0.045844356
2,2016,Feb-16,1932.23,6.5991109,237.336,-0.132967532
3,2016,Mar-16,2059.74,0.269937,238.08,0.313479624
4,2016,Apr-16,2065.3,1.532465,238.992,0.383064516
5,2016,May-16,2096.95,0.0910847,239.557,0.236409587
6,2016,Jun-16,2098.86,3.5609807,240.222,0.277595729
7,2016,Jul-16,2173.6,-0.1219176,240.101,-0.050370074
8,2016,Aug-16,2170.95,-0.1234483,240.545,0.184922179
9,2016,Sep-16,2168.27,-1.9425625,241.176,0.262320979
10,2016,Oct-16,2126.15,3.4174447,241.741,0.23426875
11,2016,Nov-16,2198.81,1.8200754,242.026,0.117894772
12,2016,Dec-16,2238.83,1.7884341,242.637,0.252452216
1,2017,Jan-17,2278.87,3.7198261,243.618,0.404307669
2,2017,Feb-17,2363.64,-0.038923,244.006,0.159265736
3,2017,Mar-17,2362.72,0.9091217,243.892,-0.046720163
4,2017,Apr-17,2384.2,1.157621,244.193,0.123415282
5,2017,May-17,2411.8,0.4813832,244.004,-0.077397796
6,2017,Jun-17,2423.41,1.9348769,244.163,0.065162866
7,2017,Jul-17,2470.3,0.0546492,244.243,0.032764997
8,2017,Aug-17,2471.65,1.9302895,245.183,0.384862616
9,2017,Sep-17,2519.36,2.2188175,246.435,0.510638992
10,2017,Oct-17,2575.26,2.8082601,246.626,0.077505225
11,2017,Nov-17,2647.58,0.983162,247.284,0.266800743
12,2017,Dec-17,2673.61,5.6178725,247.805,0.210688924
1,2018,Jan-18,2823.81,-3.894738,248.859,0.425334436
2,2018,Feb-18,2713.83,-2.6884514,249.529,0.26922876
3,2018,Mar-18,2640.87,0.2718801,249.577,0.019236241
4,2018,Apr-18,2648.05,2.1608353,250.227,0.260440666
5,2018,May-18,2705.27,0.48424,250.792,0.225794978
6,2018,Jun-18,2718.37,3.6021586,251.018,0.090114517
7,2018,Jul-18,2816.29,3.0263219,251.214,0.07808205
8,2018,Aug-18,2901.52,0.4294301,251.663,0.178732077
9,2018,Sep-18,2913.98,-6.9403359,252.182,0.20622817
10,2018,Oct-18,2711.74,1.7859382,252.772,0.233958014
11,2018,Nov-18,2760.17,-9.1776956,252.594,-0.070419192
12,2018,Dec-18,2506.85,7.8684405,252.767,0.068489354
1,2019,Jan-19,2704.1,2.972893,252.561,-0.08149798
2,2019,Feb-19,2784.49,1.7924288,253.319,0.300125514
3,2019,Mar-19,2834.4,3.9313435,254.277,0.378179292
4,2019,Apr-19,2945.83,-6.5777726,255.233,0.37596794
5,2019,May-19,2752.06,6.8930183,255.296,0.024683329
6,2019,Jun-19,2941.76,1.3128195,255.213,-0.032511281
7,2019,Jul-19,2980.38,-1.8091653,255.802,0.230787617
8,2019,Aug-19,2926.46,1.7181168,256.036,0.091477002
9,2019,Sep-19,2976.74,2.0431747,256.43,0.15388461
10,2019,Oct-19,3037.56,3.4047064,257.155,0.28272823
11,2019,Nov-19,3140.98,2.8589803,257.879,0.281542261
12,2019,Dec-19,3230.78,-0.162809,258.63,0.291221852
1,2020,Jan-20,3225.52,-8.4110469,258.906,0.106716158
2,2020,Feb-20,2954.22,-12.5119321,259.246,0.131321792
3,2020,Mar-20,2584.59,12.6844103,258.15,-0.422764479
4,2020,Apr-20,2912.43,4.5281775,256.126,-0.784040287
5,2020,May-20,3044.31,1.8388403,255.848,-0.108540328
6,2020,Jun-20,3100.29,5.5101297,257.004,0.451830775
7,2020,Jul-20,3271.12,7.0064687,258.408,0.546294999
8,2020,Aug-20,3500.31,-3.9227954,259.366,0.370731556
9,2020,Sep-20,3363,-2.7665775,259.951,0.225549995
10,2020,Oct-20,3269.96,10.7545658,260.249,0.114636989
11,2020,Nov-20,3621.63,3.7121407,260.895,0.248223816
12,2020,Dec-20,3756.07,-1.113664,262.005,0.425458518
1,2021,Jan-21,3714.24,2.6091475,262.518,0.19579779
2,2021,Feb-21,3811.15,4.2438634,263.583,0.405686467
3,2021,Mar-21,3972.89,5.2425313,264.91,0.503446732
4,2021,Apr-21,4181.17,0.5486503,266.752,0.69533049
5,2021,May-21,4204.11,2.2213976,268.452,0.637296065
6,2021,Jun-21,4297.5,2.2748109,270.664,0.823983431
7,2021,Jul-21,4395.26,2.8990321,271.994,0.491384152
8,2021,Aug-21,4522.68,-4.756914,272.789,0.292285859
9,2021,Sep-21,4307.54,6.9143873,273.887,0.402508899
10,2021,Oct-21,4605.38,-0.8333731,276.434,0.929945561
11,2021,Nov-21,4567,4.3612875,278.799,0.855538754
12,2021,Dec-21,4766.18,-5.2585089,280.808,0.72059082
1,2022,Jan-22,4515.55,-3.1360521,282.39,0.563374263
